Abbreviation,Meaning,Translation,More
YBOCS,Yale Brown Obsessive Compulsive Scale,,https://en.wikipedia.org/wiki/Yale%E2%80%93Brown_Obsessive_Compulsive_Scale
yo,year-old/years old,,https://en.wikipedia.org/wiki/Yo
